,Date,Time,Location,Operator,Flight #,Route,AC Type,Aboard,Fatalities,Ground,Year,AC mfr,Departure,Arrival
786,1945-04-19,0535,"Near Perth, Australia",military,?,Perth - Adelaide,Douglas DC-3,13.0,13.0,0,1945,douglas,Perth,Adelaide
787,1945-04-20,?,"Near Steinreich, Germany",lufthansa,?,Berlin - Prague - Vienna - Munich,Junkers JU-53/3m,20.0,18.0,0,1945,junkers,Berlin,Munich
788,1945-04-20,0640,"Sweetwater, Texas",military,?,"Midland, TX - Nashville, TN",Douglas C-47-DL,25.0,25.0,0,1945,douglas,"Midland, TX","Nashville, TN"
789,1945-04-21,2205,"Near Piesenkofen, Germany",deutsche lufthansa,?,Berlin - Munich,Focke-Wulf FW 200,21.0,21.0,0,1945,focke-wulf,Berlin,Munich
790,1945-04-23,?,"North Barrule, Isle of Man, England",military,?,Ridgewell - Nutts Corner,B17G Flying Fortress,31.0,31.0,0,1945,b17g,Ridgewell,Nutts Corner
791,1945-04-27,1240,Washington D.C.,page airways,?,Washington - New York,Lockheed 18 Lodestar,13.0,6.0,0,1945,lockheed,Washington,New York
792,1945-05-05,2226,"Manus Island, New Guinea",military,?,Lorengau - Biak,Douglas C-54E-DO (DC-4),21.0,21.0,0,1945,douglas,Lorengau,Biak
793,1945-05-06,1255,"Hindhead, England",military,?,?,Curtiss-Wright C-46D-CU,30.0,30.0,1,1945,curtiss-wright,?,?
794,1945-05-09,0130,"Roye, France",military,?,England - Brussels,Avro Lancaster,31.0,31.0,0,1945,avro,England,Brussels
795,1945-05-13,1500,"Iran Jayas, New Guinea",military,?,?,Douglas C-47B-DK,23.0,20.0,0,1945,douglas,?,?
796,1945-05-30,0920,"Off Drewin, Ivory Coast",military,?,"Accra, Ghana - Monrovia, Liberia",Douglas C-47B-dK,21.0,21.0,0,1945,douglas,"Accra, Ghana","Monrovia, Liberia"
797,1945-06-15,?,China,china national aviation corporation,?,?,Douglas C-47,3.0,3.0,0,1945,douglas,?,?
798,1945-06-24,1030,"Gealdton, Australia",mac robertson miller airlines,?,Perth - Geraldton - Carnarvon - Port Hedland,de Havilland DH-86A,11.0,2.0,0,1945,de,Perth,Port Hedland
799,1945-06-25,0750,"Swanage, England",military,?,?,Consolidated LB-30A Liberator,27.0,27.0,0,1945,consolidated,?,?
800,1945-06-29,?,"Bangalore, India",military,?,?,?,2.0,2.0,36,1945,?,?,?
801,1945-06-30,?,Texas,military,?,?,Boeing TB-29A Super Fortress,12.0,12.0,0,1945,boeing,?,?
802,1945-07-04,?,North Atlantic Ocean,military,?,Montreal - Gander - Keflavik - Prestwick - Northolt,Consolidated LB-30A Liberator,15.0,15.0,0,1945,consolidated,Montreal,Northolt
803,1945-07-11,?,"Near Kisumu, Kenya",military,?,Kisumu - Durban,Douglas C-47,28.0,28.0,0,1945,douglas,Kisumu,Durban
804,1945-07-12,1436,"Near Florence, South Carolina",eastern airlines,45,Boston - NY - Washington DC - Jacksonville - Miami,Douglas DC-3-201C / Army A-26,10.0,3.0,0,1945,douglas,Boston,Miami
805,1945-07-28,0949,"New York, New York",military,?,Bedford - New York,North American B-25D bomber,3.0,3.0,11,1945,north,Bedford,New York
806,1945-08-01,0950,"Near San Luis Potosi, Mexico",lineas aereas mineras,?,Mexico City - Nogales,Boeing 247D,12.0,12.0,0,1945,boeing,Mexico City,Nogales
807,1945-08-03,1011,"Fort de France, Martinique",pan american world airways,216,Port of Spain - Fort de France,Sikorsky S-43 (flying boat),14.0,4.0,0,1945,sikorsky,Port of Spain,Fort de France
808,1945-08-11,1600,"Ixtaccihuati, Mexico",mexicana,?,Tapachula - Mexico City,Douglas DC-2-243,16.0,16.0,0,1945,douglas,Tapachula,Mexico City
809,1945-09-07,0213,"Florence, South Carolina",eastern airlines,42,Miami - New York City,Douglas DC-3,22.0,22.0,0,1945,douglas,Miami,New York City
810,1945-09-11,1015,"Near Milne Bay, New Guinea",military,?,Milne Bay - Dobodura,Douglas C-47A,11.0,11.0,0,1945,douglas,Milne Bay,Dobodura
811,1945-09-15,0008,"Near Kansas, Missouri",military,?,?,Douglas C-47B-DK,24.0,23.0,0,1945,douglas,?,?
812,1945-09-18,?,"Puncak Jaya, Papua New Guinea",military,?,Pitu - Merauke - Bamaga - Townsville,Douglas C-47B-5-DK,29.0,29.0,0,1945,douglas,Pitu,Townsville
813,1945-09-28,?,"Near Chihkiang, China",military,?,?,Curtiss C-46D,20.0,20.0,0,1945,curtiss,?,?
814,1945-10-05,0105,"Lakeland, Florida",national airlines,16,Miami - Jacksonville,Lockheed 18 Lodestar,15.0,2.0,0,1945,lockheed,Miami,Jacksonville
815,1945-10-05,1250,"Elvetham, England",military,?,England - Prague,Consolidated LB-40-A Liberator,23.0,23.0,0,1945,consolidated,England,Prague
816,1945-10-07,0030,"Rennes, France",military,?,London - Cairo,Short Stirling IV,26.0,26.0,0,1945,short,London,Cairo
817,1945-10-13,2045,"Melsbroek, Belgium",military,?,London - Brussels - New Delhi,Consolidated LB-30-A Liberator,31.0,31.0,0,1945,consolidated,London,New Delhi
818,1945-10-16,1130,"Near Peking, China",military,?,Hankou - Peking,Curtiss-Wright C-46F-CU,59.0,59.0,0,1945,curtiss-wright,Hankou,Peking
819,1945-10-20,?,"Between Shanghi and Canton, China",china national aviation corporation,?,Shanghai - Canton,Douglas C-47,31.0,31.0,0,1945,douglas,Shanghai,Canton
820,1945-10-20,?,"Timor Sea, Atlantic Ocean",military,?,"Ambon, Indonesia - Darwin, Australia",Douglas C-47B,25.0,25.0,0,1945,douglas,"Ambon, Indonesia","Darwin, Australia"
821,1945-10-23,?,"Near Chiringa, India",military,?,?,Douglas C-47B,14.0,14.0,0,1945,douglas,?,?
822,1945-10-24,?,"Tarapoto, Peru",faucett,?,?,Faucett F-19,5.0,5.0,0,1945,faucett,?,?
823,1945-10-24,?,"Valetta, Malta",boac,?,London - Valetta - Cairo,Douglas C-47 Skytrain (DC-3),16.0,9.0,0,1945,douglas,London,Cairo
824,1945-10-30,1915,"Chihchiang, China",military,?,Zhijiang - Shanghai,Curtiss-Wright C-46A-CK,50.0,45.0,0,1945,curtiss-wright,Zhijiang,Shanghai
825,1945-11-01,1530,"Herrenalb, Germany",military,?,Bovingdon - Schleissheim,Douglas C-47A-DK,30.0,26.0,0,1945,douglas,Bovingdon,Schleissheim
826,1945-11-03,0200,"Near Chuka, India",military,?,Chabua - Karachi,Douglas C-54G,44.0,44.0,0,1945,douglas,Chabua,Karachi
827,1945-11-07,1115,"Near Grants, New Mexico",national skyway freight co.,?,Alberquerque -,Budd RB-1 Conestoga,3.0,1.0,0,1945,budd,Alberquerque,Alberquerque -
828,1945-11-08,2000,"Off Corpus Christi, Texas",military,?,?,Martin PBM-3S / Martin PBM-5,27.0,22.0,0,1945,martin,?,?
829,1945-11-09,2000,"Near Boccadi, Italy",military,?,Athens - Naples,Douglas C-47A-DL,24.0,24.0,0,1945,douglas,Athens,Naples
830,1945-11-11,1200,"Near Picinisco, Italy",military,?,France - Athens,Boeing B-17G,20.0,20.0,0,1945,boeing,France,Athens
831,1945-11-11,?,Himalayas,military,?,"Chabau, India - Karachi, Pakistan",Douglas C-54,44.0,44.0,0,1945,douglas,"Chabau, India","Karachi, Pakistan"
832,1945-11-11,2345,"Near Castel, Libya",military,?,?,Short Stirling,29.0,29.0,0,1945,short,?,?
833,1945-11-13,2015,"Near Tacloban, Philippines",australian national airways,?,?,Douglas C-48,17.0,16.0,?,1945,douglas,?,?
834,1945-11-15,0914,Near Jacquinot Bay New Guinea,military,?,Lae - Finschhafen - Jacquinot Bay - Rabaul,Douglas C-47 Dakota-DK,28.0,28.0,0,1945,douglas,Lae,Rabaul
835,1945-11-22,1000,"White's Farm, England",military,?,Merryfield - Bombay,Consolidated LB-30A Liberator,27.0,27.0,0,1945,consolidated,Merryfield,Bombay
836,1945-12-03,1330,"Near Rochefort , France",military,?,"India - Cambridge, England",Consolidated LB-30A Liberator,28.0,28.0,0,1945,consolidated,India,"Cambridge, England"
837,1945-12-05,2000,Off the Florida coast,military,19,?,Five Grumman TBM Avengers,14.0,14.0,0,1945,five,?,?
838,1945-12-05,1950,"Off Smyrna, Bahamas",military,?,Patrol,Martin PBM Mariner,13.0,13.0,0,1945,martin,?,?
839,1945-12-08,0113,"Near Billings, Montana",military,?,Minneapolis - Fargo - Billings,Douglas C-47,21.0,17.0,0,1945,douglas,Minneapolis,Billings
840,1945-12-18,1010,"Voksenkollen, Norway",military,?,Down Ampney - Copenhagen - Oslo,Douglas C-47B,17.0,17.0,0,1945,douglas,Down Ampney,Oslo
841,1945-12-25,1930,"Bangui, French Equatorial Africa",air france,?,Paris - NDjamena - Bangui - Antananarivo,Lockheed 18 Lodestar,8.0,8.0,0,1945,lockheed,Paris,Antananarivo
842,1945-12-25,?,"Near Dudinka, Russia",polyarnya aviatsiya,?,?,Douglas DC-3,10.0,10.0,0,1945,douglas,?,?
843,1945-12-30,2113,"New York City, New York",eastern airlines,14,Philadelphia - New York City,Douglas DC-3,12.0,1.0,0,1945,douglas,Philadelphia,New York City
844,1946-01-06,03:59,"Birmingham, Alabama",pennsylvania central airlines,105,"New York City - Birmingham, AL",Douglas DC-3,11.0,3.0,0,1946,douglas,New York City,"Birmingham, AL"
845,1946-01-09,?,"Changchun, China",military,?,?,Douglas C-47,18.0,18.0,0,1946,douglas,?,?
846,1946-01-14,?,"Near Netrubezh, Russia",aeroflot,?,"Kharkov, Ukraine - Moscow",Lisunov Li-2,22.0,22.0,0,1946,lisunov,"Kharkov, Ukraine",Moscow
847,1946-01-15,18:25,"Marseilles, France",military,?,?,Douglas C-47 Dakota,25.0,23.0,0,1946,douglas,?,?
848,1946-01-18,11:03,"Cheshire, Connecticut",eastern airlines,16B,New York - Boston,Douglas DC-3-201E,17.0,17.0,0,1946,douglas,New York,Boston
849,1946-01-19,?,"Crowsnest Pass, Alberta, Canada",mililtary,?,"Comox, BC - Greenwood,NS",Douglas DC-3 Dakota,7.0,7.0,0,1946,douglas,"Comox, BC","Greenwood,NS"
850,1946-01-30,?,"Near Le Mans, France",military,?,?,Douglas C-47B,11.0,11.0,0,1946,douglas,?,?
851,1946-01-31,02:47,"Mt. Elk, Wyoming",united airlines,14,Boise - Denver,Douglas DC-3-194H,21.0,21.0,0,1946,douglas,Boise,Denver
852,1946-02-05,?,"Negros, Philippines",military,?,Iloilo - Cebu,Douglas C-47,20.0,20.0,0,1946,douglas,Iloilo,Cebu
853,1946-02-21,?,"Charlottetown, PE, Canada",british overseas airways,?,?,Consolidated 32-2 Liberator II,14.0,1.0,0,1946,consolidated,?,?
854,1946-03-03,08:12,"Live Oak Springs, California",american airlines,6-103,Dallas - Tucon - San Diego,Douglas DC-3-227B,27.0,27.0,0,1946,douglas,Dallas,San Diego
855,1946-03-05,17:00,"Near Prague, Czechoslovakia",ceskoslovenske aerolinie,?,Paris - Prauge,Junkers JU-52/3m,15.0,12.0,0,1946,junkers,Paris,Prauge
856,1946-03-10,20:55,"Off Hobart, Tasmania",australian national airways,?,Hobart - Melbourne,Douglas DC-3 (C-47DL),25.0,25.0,0,1946,douglas,Hobart,Melbourne
857,1946-03-17,?,"Near Nanking, China",military,?,Shanghai - Nanking,?,20.0,20.0,0,1946,?,Shanghai,Nanking
858,1946-03-18,?,"Between Chungking and Shanghai, China",china national aviation corporation,?,Chunking - Shanghai,?,,,?,1946,?,Chunking,Shanghai
859,1946-03-19,11:45,"Hobart Mills, California",military,?,"Stockton, CA - Ogden, UT",Douglas C-47B,26.0,26.0,0,1946,douglas,"Stockton, CA","Ogden, UT"
860,1946-03-23,?,"Off Ceylon, Cocos Islands, Indian Ocean",british overseas airways,?,Karachi - Australia,Avro 691 Lancastrian 1,10.0,10.0,0,1946,avro,Karachi,Australia
861,1946-04-01,10:00,"near Craigavad, Northern Ireland",railway air services ltd.,?,Liverpool - Belfast,de Hvilland 89A Dragon Rapide,6.0,6.0,0,1946,de,Liverpool,Belfast
862,1946-04-05,c 11:15,"Rabat, Malta",military,?,?,Vickers Wellington bomber,4.0,4.0,16,1946,vickers,?,?
863,1946-04-08,?,"Near Shensi, China",?,?,Shensi - Yenan,?,14.0,14.0,0,1946,?,Shensi,Yenan
864,1946-04-22,?,"La Liberiad, Nicaragua",taca,?,La Liberiad - Managua,Lockheed 14 Super Electra,21.0,20.0,0,1946,lockheed,La Liberiad,Managua
865,1946-04-30,?,"Pindi-Khut ,India",military,?,?,Douglas C-47A,12.0,12.0,0,1946,douglas,?,?
866,1946-05-10,?,"Munson, Florida",military u.s. navy,?,?,PBY4-2 Privateer / PB4Y-2 Privateer,28.0,28.0,0,1946,pby4-2,?,?
867,1946-05-16,c 01:00,"Richmond, Virginia",viking air transport,?,Richmond - Atlanta,Douglas DC-3,27.0,27.0,0,1946,douglas,Richmond,Atlanta
868,1946-05-22,13:00,"Oslo, Norway",dnl norwegian airlines,?,Oslo - Stockholm,Junkers JU-52/3m,14.0,13.0,0,1946,junkers,Oslo,Stockholm
869,1946-06-01,07:40,"Off Amalfi, Italy",military,?,Cairo - Rome,Douglas C-54-DO (DC-4),38.0,30.0,0,1946,douglas,Cairo,Rome
870,1946-06-09,10:30,"Taboga Island, Panama",military,?,?,Douglas C-54D-DC (DC-4),23.0,23.0,0,1946,douglas,?,?
871,1946-06-09,13:15,"Near Abeokuta, Nigeria",military,?,Kano - Ikeja,Douglas C-47 Dakota,18.0,18.0,0,1946,douglas,Kano,Ikeja
872,1946-06-29,?,Off Malaya,military,?,?,Douglas C-47B,18.0,18.0,0,1946,douglas,?,?
873,1946-06-29,?,"Pau, France",air france,?,?,Junkers Ju-52/3m,3.0,2.0,0,1946,junkers,?,?
874,1946-07-09,20:10,"Holyoke, Massachusetts",military,?,?,Boeing B17G,25.0,25.0,0,1946,boeing,?,?
875,1946-07-11,?,"Reading, Pennsylvania",trans continental and western air,513,Training flight,Lockheed L-049 Constellation,6.0,5.0,0,1946,lockheed,?,?
876,1946-07-13,?,"Tsinan, China",central air transport,?,?,Curtiss C-46,49.0,13.0,0,1946,curtiss,?,?
877,1946-07-17,?,"Cuenca, Ecuador",andesa,?,Guayaquil - Cuenca,Curtiss C-46D-10-CU,30.0,30.0,0,1946,curtiss,Guayaquil,Cuenca
878,1946-07-18,21:10,"Goodland, Kansas",military,?,Topeka - Denver,Douglas C-47,13.0,13.0,0,1946,douglas,Topeka,Denver
879,1946-07-20,12:15,Off the Panama coast,military,?,?,Boeing B-17G / Boeing B-17G,20.0,20.0,0,1946,boeing,?,?
880,1946-07-25,?,"Bassein, Burma",military,?,?,Douglas C-47 Dakota,22.0,22.0,0,1946,douglas,?,?
881,1946-07-26,08:30,"Near Huatesco, Veracruz, Mexico",communicaciones aereos de veracruz,?,Jalapa - Cordoba,Fairchild Pilgrim 100A,9.0,9.0,0,1946,fairchild,Jalapa,Cordoba
882,1946-08-07,?,"Oslo, Norway",british european airways,?,Northolt - Oslo,Douglas C-47A-10-DK,16.0,3.0,0,1946,douglas,Northolt,Oslo
883,1946-08-09,?,"Lakehurst, New Jersey",atlantic central airlines,?,Atlantic City - Newark,Lockheed 18-56 Lodestar,6.0,4.0,0,1946,lockheed,Atlantic City,Newark
884,1946-08-14,?,"Malta-Luqa, Malta",boac,?,?,Douglas C-47A,5.0,1.0,0,1946,douglas,?,?
885,1946-08-20,"06,15","Rouen, France",british overseas airways,?,Palestine - London,Avro 691 Lancastrian 1,9.0,8.0,0,1946,avro,Palestine,London
886,1946-08-21,04:19,"Moline, Illinois",trans luxury airlines,878,Teterboro - Chicago - San Francisco,Douglas C-47-DL,25.0,2.0,0,1946,douglas,Teterboro,San Francisco
887,1946-08-24,?,"Cairo, Egypt",misrair,?,?,Avro Anson,9.0,6.0,0,1946,avro,?,?
888,1946-08-31,?,"Near Prince Rupert, British Columbia, Canada",queen charlotte airlines,?,Stewart - Prince Rupert,Supermarine Stranraer (flying boat),7.0,7.0,0,1946,supermarine,Stewart,Prince Rupert
889,1946-09-03,17:00,"Holtug, Denmark",air france,?,Copenhagen - Paris,Douglas DC-3 (C-53D-DO),22.0,22.0,0,1946,douglas,Copenhagen,Paris
890,1946-09-04,09:15,"Le Bourget, France",air france,?,Paris - Croydon,Douglas DC-3,26.0,20.0,1,1946,douglas,Paris,Croydon
891,1946-09-05,c 02:00,"Elko, Nevada",trans-luxury airlines,850,New York City - San Francisco,Douglas DC-3 (C-47-A5-DL),22.0,21.0,0,1946,douglas,New York City,San Francisco
892,1946-09-07,?,"Bathurst, Gambia",british south american airways,?,"Bathrust, - Argentina",Avro 685 York I,24.0,24.0,0,1946,avro,"Bathrust,",Argentina
893,1946-09-07,?,"Nome, Alaska",mt. mckinley airfreight,?,?,Douglas C-47A,4.0,4.0,0,1946,douglas,?,?
894,1946-09-15,?,"Estevan, Saskatchewan, Canada",military,?,?,Douglas C-47A Dakota,21.0,21.0,0,1946,douglas,?,?
895,1946-09-17,01:17,"Brussels, Belgium",sabena,?,Brussels - Croydon,Douglas C-47-DL,7.0,1.0,0,1946,douglas,Brussels,Croydon
896,1946-09-18,0415,"Near Gander, Newfoundland",sabena,?,Brussels - Shannon - Gander - New York City,Douglas DC-4-1009,44.0,27.0,0,1946,douglas,Brussels,New York City
897,1946-09-19,?,"Near Tripoli, Libya",military,?,"St. Mawan, England - Almaza, Egypt",Avro Lancaster,25.0,25.0,0,1946,avro,"St. Mawan, England","Almaza, Egypt"
898,1946-09-20,?,"Lochi Mountain, China",china national aviation corporation,?,"Sichang - Kunming, Yunnan",Curtiss Wright C-46,28.0,28.0,0,1946,curtiss,Sichang,"Kunming, Yunnan"
899,1946-09-25,09:31,Near Hong Kong International Airport,military,?,Hong Kong - Singapore,Douglas C-47B-25-DK,19.0,19.0,0,1946,douglas,Hong Kong,Singapore
900,1946-09-27,?,"Near Milngavie, Stirlingshire, Scotland",railway air service ltd.,?,Islay - Glascow,de Havilland 89A Dragon Rapide,7.0,7.0,0,1946,de,Islay,Glascow
901,1946-09-27,17:30,"Rio Doce, Brazil",panair do brasil,?,Belo Horizonte - Rio de Janerio,Douglas DC-3A-228D,25.0,25.0,0,1946,douglas,Belo Horizonte,Rio de Janerio
902,1946-10-03,c 03:30,"Stephenville, Newfoundland",american overseas airlines,?,Gander - Shannon,Douglas C-54E-5-DO,39.0,39.0,0,1946,douglas,Gander,Shannon
903,1946-10-06,07:30,"Off Penang, Malaya",military,?,?,Avro 685 York 1,21.0,21.0,0,1946,avro,?,?
904,1946-10-07,11:20,"Apeldoorn, The Netherlands",military,?,?,Fairey Firefly MK1,1.0,1.0,22,1946,fairey,?,?
905,1946-10-08,04:33,"Cheyenne, Wyoming",united airlines,28,San Francisco - Cheyenne - Chicago,Douglas DC-4,41.0,2.0,0,1946,douglas,San Francisco,Chicago
906,1946-10-10,20:00,"Near Sefrou, Morocco",air ocean,?,Paris - Casablanca,Junkers Ju-52/3m,16.0,16.0,0,1946,junkers,Paris,Casablanca
907,1946-10-17,00:57,"Laramie, Wyoming",national air transport services,942,Oakland - Chicago,Douglas DC-3,13.0,13.0,0,1946,douglas,Oakland,Chicago
908,1946-10-17,?,"Near Chitral, India",military,?,?,Douglas C-47B,11.0,11.0,0,1946,douglas,?,?
909,1946-10-23,?,"Gebel Kalamoun, Egypt",socotra,?,Paris - Cairo,Junkers JU-52/3m,24.0,1.0,0,1946,junkers,Paris,Cairo
910,1946-11-01,?,"St Leger-la-Montagne, France",cta languedoc roussillon,?,Paris - Toulouse - Casablanca,AAC-1 Toucan,27.0,23.0,0,1946,aac-1,Paris,Casablanca
911,1946-11-05,18:30,"Near Moscow, Russia",aeroflot,?,"Riga, Latvia - Moscow",Douglas C-47,26.0,13.0,?,1946,douglas,"Riga, Latvia",Moscow
912,1946-11-11,03:30,"Cleveland, Ohio",united airlines,404,Chicago - Cleveland,Douglas DC-3 (C-53D-DO),20.0,2.0,0,1946,douglas,Chicago,Cleveland
913,1946-11-13,03:41,"Lebec, California",western airlines,23,Palmdale - Burbank,Douglas C-53D-DO (DC-3),11.0,11.0,0,1946,douglas,Palmdale,Burbank
914,1946-11-13,08:18,"Near Cofre de Perote, Mexico",empressa commun. aéreas de veracruz,?,Mexico City - Veracruz,Douglas DC-3,15.0,15.0,0,1946,douglas,Mexico City,Veracruz
915,1946-11-14,c 20:15,"Amsterdam, Netherlands",klm royal dutch airlines,?,London - Amsterdam,Douglas C-47A-90 DL (DC-3),26.0,26.0,0,1946,douglas,London,Amsterdam
916,1946-11-16,23:30,North Pacific Ocean,military,?,Guam - Iwo Jima,Douglas C-47,23.0,23.0,0,1946,douglas,Guam,Iwo Jima
917,1946-11-26,c 10:30,"San Jose, Costa Rica",lineas aéreas costarricenses lacsa,?,?,Douglas DC-3 (C-47A-90-DL),22.0,22.0,0,1946,douglas,?,?
918,1946-11-30,?,"El Palomar, Argentina",fuerza aérea argentina,?,?,Vickers 620 Viking 1,18.0,5.0,0,1946,vickers,?,?
919,1946-12-04,?,"Meshed, Iran",aeroflot,?,Meshed - Teheran,Lisunov Li-2,24.0,24.0,0,1946,lisunov,Meshed,Teheran
920,1946-12-10,13:10,"Near Osaka, Japan",military,?,?,Curtiss-Wright C-46F-CU,24.0,24.0,0,1946,curtiss-wright,?,?
921,1946-12-10,?,"Toledo, Washington",military,?,"Miramar NAS, California - Sand Point NB, Seattle",Curtiss-Wright R5C-1,32.0,32.0,0,1946,curtiss-wright,"Miramar NAS, California","Sand Point NB, Seattle"
922,1946-12-14,?,"Mt. Banahaur, Philippines",far eastern air transport,?,Grace Park AF - Lucena,Douglas DC-3 (C-47-B-1-DK),14.0,12.0,0,1946,douglas,Grace Park AF,Lucena
923,1946-12-17,?,"Caribbean, Atlantic Ocean",winged cargo inc.,?,"Kingston, Jamaca - San Jose",Douglas C-47A,7.0,7.0,0,1946,douglas,"Kingston, Jamaca",San Jose
924,1946-12-23,14:30,"Near Rio de Janeiro, Brazil",fama (argentina),?,London - Buenos Aires.,Avro 685 York I,21.0,21.0,0,1946,avro,London,Buenos Aires.
925,1946-12-24,19:19,"Near San Diego, California",western airlines,44,Holtville - San Diego,Douglas DC-3 ( C-53D-DO),12.0,12.0,0,1946,douglas,Holtville,San Diego
926,1946-12-25,17:00,"Near Wusong, Jiangsu, China",cnac,115,Chunking - Shanghi,Curtiss C-47,34.0,13.0,3,1946,curtiss,Chunking,Shanghi
927,1946-12-25,1700,"Near Shanghai, China",cnac,140,Chunking - Shanghi,Douglas DC-3,30.0,20.0,0,1946,douglas,Chunking,Shanghi
928,1946-12-25,1745,"Shanghai, China",cata,48,Chunking - Shanghai,Douglas C-47,11.0,11.0,5,1946,douglas,Chunking,Shanghai
929,1946-12-28,?,"Walshville, Illinois",kansas city southern skyways,?,"Flint, MI - Washville, IL",Douglas C-47A,2.0,2.0,0,1946,douglas,"Flint, MI","Washville, IL"
930,1946-12-28,02:09Z,"Near Shannon, Ireland",trans continental and western air,6963,Paris - Shannon,Lockheed 049 Consellation,23.0,13.0,0,1946,lockheed,Paris,Shannon
931,1946-12-28,09:19,"Michigan City, Indiana",american airlines,2207,Buffalo - Chicago,Douglas DC-3 (C-50A-DO),21.0,2.0,0,1946,douglas,Buffalo,Chicago
932,1946-12-28,?,"Walshville, Illinois",kansas city southern skyways,?,"Flint, MI - Washville, IL",Douglas C-47A,2.0,2.0,0,1946,douglas,"Flint, MI","Washville, IL"
933,1947-01-03,?,"Sao Paulo, Brazil",panair do brasil,?,?,Sikorsky S-43B (flying boat),14.0,11.0,0,1947,sikorsky,?,?
934,1947-01-05,?,"Tsingtao, China",china national aviation corporation,?,Shanghai - Tsingtao - Beijing,Curtis C-46,43.0,43.0,0,1947,curtis,Shanghai,Beijing
935,1947-01-05,c 20:00,"Carmel, New Jersey",nationwide air transport,?,Miami - Raleigh - Washington,Douglas DC-3,23.0,3.0,0,1947,douglas,Miami,Washington
936,1947-01-11,1730,"Near Lympne, England",british overseas airways,?,London - Bordeaux - Lagos,Douglas C-47A-1-DK,16.0,8.0,0,1947,douglas,London,Lagos
937,1947-01-11,?,"Off Laoag, China",far eastern air transport,?,Shanghai - Manila,Douglas DC-4 (C-54A-DO),42.0,7.0,0,1947,douglas,Shanghai,Manila
938,1947-01-12,0138,"Near Galax, Virginia",eastern airlines,665,"Akron, OH - Winston/Salem, NC",Douglas DC-3,19.0,18.0,0,1947,douglas,"Akron, OH","Winston/Salem, NC"
939,1947-01-14,0900,"Near Puebla, Mexico",military,?,Puebla - Oaxaca,Lockheed C-60 Lodestar,21.0,21.0,0,1947,lockheed,Puebla,Oaxaca
940,1947-01-22,?,"Puesto Araujo, Colombia",avianca,?,Bogota - Barrancabermeja,Douglas DC-3 ( C-47-DO),17.0,17.0,0,1947,douglas,Bogota,Barrancabermeja
941,1947-01-25,1140,"Croydon, Surrey, England",spencer airways,?,Croydon - Rome - Salisbury,Douglas C-47 / Douglas DC-3,23.0,12.0,0,1947,douglas,Croydon,Salisbury
942,1947-01-25,1400,"Chongqing, China",china national aviation corporation,?,Canton - Chungking - Hong Kong,Douglas DC-3,19.0,19.0,0,1947,douglas,Canton,Hong Kong
943,1947-01-25,?,Hong Kong,philippine airlines,?,?,Douglas C-47A,4.0,4.0,0,1947,douglas,?,?
944,1947-01-26,1530,"Copenhagen, Denmark",klm royal dutch airlines,?,Kobenhavn - Stockholm,Douglas C- C47A-30DK,22.0,22.0,0,1947,douglas,Kobenhavn,Stockholm
945,1947-01-28,1200,"Near Hankow, China",china national aviation corporation,?,Shanghai - Hankow - Chungking,Curtiss C-46,26.0,25.0,0,1947,curtiss,Shanghai,Chungking
946,1947-02-01,1845,"Near Lisbon, Portugal",air france,?,Paris - Bordeaux - Lisbon,Douglas DC-3C,20.0,19.0,0,1947,douglas,Paris,Lisbon
947,1947-02-05,?,"Harrington, Delaware",international air freight,?,"New York, NY - Raleigh, NC",Douglas DC-3,3.0,1.0,0,1947,douglas,"New York, NY","Raleigh, NC"
948,1947-02-06,1700,"Pedro Bernardo, Spain",aerovias cuba international,?,Havana - Lisbon - Madrid,Douglas C-54B-15-DO,11.0,11.0,0,1947,douglas,Havana,Madrid
949,1947-02-14,04:20,"Denver, Colorado",slick airways,?,"Omaha, NE - Denver, CO",Curtiss C-46E,2.0,2.0,0,1947,curtiss,"Omaha, NE","Denver, CO"
950,1947-02-15,1218,"Near Bogota, Colombia",avianca,?,Barranquilla - Bogota,Douglas DC-4,53.0,53.0,0,1947,douglas,Barranquilla,Bogota
951,1947-02-15,0930,"Off Terracina, Italy",military,?,Rome - Cairo,Savoia-Marchetti SM-95,16.0,16.0,0,1947,savoia-marchetti,Rome,Cairo
952,1947-02-21,1600,"Chungking, China",military,?,Sichang - Chungking,Douglas C-47,21.0,21.0,0,1947,douglas,Sichang,Chungking
953,1947-02-26,?,"China Sea, Pacific Ocean",military,?,Singapore - Siagon,Douglas C-47B,12.0,12.0,0,1947,douglas,Singapore,Siagon
954,1947-03-05,0953,"Near Georgia, USSR",aeroflot,?,Tbilisi - Moscow - Vnoukovo,Doublas C-47,23.0,23.0,0,1947,doublas,Tbilisi,Vnoukovo
955,1947-03-08,?,"L'isola di Ischia, Italy",military,?,Hassani - Rome - Northolt,Douglas C-47B,13.0,13.0,0,1947,douglas,Hassani,Northolt
956,1947-03-08,1459,"Cordillera, Colombia",viarco,?,Villavicencio - Bogota,Douglas C-47-DL,9.0,9.0,0,1947,douglas,Villavicencio,Bogota
957,1947-03-14,1530,"Mt. Moucherolles, France",air france,?,Lyons - Nice - Paris,Douglas DC-3 (C-47A-90-DL),23.0,23.0,0,1947,douglas,Lyons,Paris
